60666,913958,6.9,Jimmy Carter Man from Plains (2007),PG | 2h 5min | Documentary/ Biography/ History | 15 August 2008 (UK),A chronicle of the former president's tour recent for his book 'Palestine: Peace Not Apartheid.'
60684,409459,7.6,Watchmen (2009),18 | 2h 42min | Action/ Drama/ Mystery | 5 March 2009 (South Korea),"In 1985 where former superheroes exist, the murder of a colleague sends active vigilante Rorschach into his own sprawling investigation, uncovering something that could completely change the course of history as we know it."
60688,1043838,4.6,Conspiracy (2008),R | 1h 30min | Action/ Drama/ Mystery | 15 February 2008 (USA),A wounded United States Marine discovers a corporate conspiracy designed to run illegal aliens out of an Arizona border town by any means necessary.
60702,865957,4.6,WarGames: The Dead Code (2008),PG-13 | 1h 40min | Drama/ Sci-Fi/ Thriller | Video 29 July 2008,The United State's Department of Homeland Security is led to believe an American teen hacker playing a terrorist-attack simulator game online is a real terrorist out to destroy the U.S.
60707,844768,6.2,Wild West Comedy Show: 30 Days & 30 Nights - Hollywood to the Heartland (2006),R | 1h 40min | Documentary/ Comedy | 8 February 2008 (USA),"In this documentary, the show's emcee, Vince Vaughn, and four stand-up comedians hand-picked by Vaughn, travel the country and perform in 30 cities. This film documents the interactions on and off stage along the way."
60728,1045889,7.5,Steal a Pencil for Me (2007),1h 34min | Documentary/ Romance | 10 March 2007 (USA),"STEAL A PENCIL FOR ME is a compelling documentary feature film by Academy Award® nominee Michele Ohayon about the power of love and the ability of humankind to rise above unimaginable suffering. 1943: Holland is under total Nazi occupation. In Amsterdam, Jack, an unassuming accountant, first meets Ina at a birthday party - a 20-year-old beauty from a wealthy diamond manufacturing family who instantly steals his heart. But Jack's pursuit of love will be complicated; he is poor and married to Manja, a flirtatious and mercurial spouse. When the Jews are being deported, the husband, the wife and the lover find themselves at the same concentration camp; actually living in the same barracks. When Jack's wife objects to the 'girlfriend' in spite of their unhappy marriage, Jack and Ina resort to writing secret love letters, which sustain them throughout the horrible circumstances of the war. Jack: 'I'm a very special Holocaust survivor. I was in the camps with my wife and my girlfriend; and believe me, it wasn't easy.'"
60735,952682,7.2,Shotgun Stories (2007),PG-13 | 1h 32min | Drama/ Thriller | 26 March 2008 (USA),"Shotgun Stories tracks a feud that erupts between two sets of half brothers following the death of their father. Set against the cotton fields and back roads of Southeast Arkansas, these brothers discover the lengths to which each will go to protect their family."
60737,472205,6.3,Watching the Detectives (2007),1h 34min | Comedy/ Romance | 11 September 2008 (Russia),A film noir buff has his life turned on end by a femme fatale with a big adventure in mind.
60743,1086340,6.6,Mr. Untouchable (2007),1h 32min | Documentary/ Crime | 26 October 2007 (USA),"The true-life story of a Harlem's notorious Nicky Barnes, a junkie turned multimillionaire drug-lord, MR. UNTOUCHABLE takes its audience deep inside the heroin industry of the 1970s. The most powerful black drug kingpin in New York City history, Barnes came from humble beginnings to make himself and his comrades rich beyond their wildest dreams, ultimately reaching national infamy in 1977 when the New York Times put him on the front cover of their magazine with the headline 'Mr. Untouchable'. Soon after, it all came crumbling down, and facing a life sentence without parole, Barnes started naming names. With the first hand testimony from 'the black Godfather' himself, this documentary tells an epic story of business, excess, greed and revenge."
60745,54687,7.5,Blast of Silence (1961),1h 17min | Crime/ Drama/ Thriller | 17 August 1962 (Denmark),"A hired killer from Cleveland has a job to do on a second-string mob boss in New York. But a special girl from his past, and a fat gun dealer with pet rats, each gets in his way."
